brand,model,country_of_origin,established_year,headquarters,website,popular_models,category,logo_url,source_url,last_updated,notes
Maruti Suzuki,Baleno,Japan,1970,"New Delhi, India",https://www.marutisuzuki.com,"Baleno, Swift, Dzire, Brezza",Passenger,https://upload.wikimedia.org/wikipedia/commons/7/73/Maruti_Suzuki_logo.svg,https://www.marutisuzuki.com,2025-11-04,India's largest passenger vehicle manufacturer by volume
Tata Motors,Nexon EV,India,1945,"Pune, India",https://www.tatamotors.com,"Nexon, Harrier, Tiago, Altroz",EV/Passenger,https://upload.wikimedia.org/wikipedia/commons/4/4e/Tata_Motors_logo.svg,https://www.tatamotors.com,2025-11-04,Strong EV lineup and growing market share
Hyundai,i20,South Korea,1967,"Chennai, India",https://www.hyundai.com/in,"i20, Creta, Venue, Alcazar",Passenger,https://upload.wikimedia.org/wikipedia/commons/3/34/Hyundai_logo.svg,https://www.hyundai.com/in/en,2025-11-04,Popular compact and mid-size models
Mahindra,Thar,India,1945,"Mumbai, India",https://www.mahindra.com,"Thar, XUV700, Scorpio",Passenger/SUV,https://upload.wikimedia.org/wikipedia/commons/0/03/Mahindra_Logo.svg,https://www.mahindra.com,2025-11-04,Well-known for SUVs and utility vehicles
Honda Cars India,Civic,Japan,1948,"Gurugram, India",https://www.hondacarindia.com,"City, Amaze, Civic",Passenger,https://upload.wikimedia.org/wikipedia/commons/7/71/Honda-logo.svg,https://www.hondacarindia.com,2025-11-04,Focus on sedans and compact cars historically
Toyota Kirloskar,Fortuner,Japan,1937,"Bengaluru, India",https://www.toyotabharat.com,"Fortuner, Innova Crysta, Urban Cruiser",Passenger/SUV,https://upload.wikimedia.org/wikipedia/commons/9/9d/Toyota_logo.svg,https://www.toyotabharat.com,2025-11-04,Strong reputation for reliability
Kia India,Seltos,South Korea,1944,"Anand, India",https://www.kia.com/in,"Seltos, Sonet, Carnival",Passenger/SUV,https://upload.wikimedia.org/wikipedia/commons/0/09/Kia_logo.svg,https://www.kia.com/in,2025-11-04,Rapidly growing sales since launch
Mercedes-Benz India,C-Class,Germany,1926,"Mumbai, India",https://www.mercedes-benz.co.in,"C-Class, E-Class, GLE",Luxury,https://upload.wikimedia.org/wikipedia/commons/9/90/Mercedes-Benz_logo_2010.svg,https://www.mercedes-benz.co.in,2025-11-04,Luxury vehicle segment leader
BMW India,3 Series,Germany,1916,"Gurugram, India",https://www.bmw.in,"3 Series, 5 Series, X5",Luxury,https://upload.wikimedia.org/wikipedia/commons/4/44/BMW.svg,https://www.bmw.in,2025-11-04,Premium German manufacturer
MG Motor India,Hector,China / UK,2007,"New Delhi, India",https://www.mgmotor.co.in,"Hector, ZS EV, Gloster",Passenger/SUV/EV,https://upload.wikimedia.org/wikipedia/commons/6/6b/MG_Motor_logo.svg,https://www.mgmotor.co.in,2025-11-04,Entry in connected cars and EVs
